D	127	46
D	108	56
D	122	127
D	119	46
D	57	60
D	74	75
D	32	34
D	32	33
D	33	35
D	122	129
D	32	35
D	33	34
D	59	60
D	34	35
D	122	46
D	119	122
D	119	127
D	13	69
D	119	129
D	127	129
D	129	46
D	11	32
D	11	33
D	11	34
D	57	59
D	11	35
U	124	88
U	115	26
U	121	131
U	39	98
U	120	34
U	120	33
U	118	78
U	120	32
U	30	37
U	101	68
U	120	35
U	24	54
U	33	51
U	137	95
U	30	82
U	35	51
U	10	89
U	128	80
U	116	13
U	38	63
U	18	97
U	128	89
U	138	139
U	127	98
U	122	98
U	58	91
U	80	82
U	111	134
U	120	133
U	135	21
U	116	69
U	17	36
U	110	44
U	127	40
U	16	42
U	34	51
U	32	51
U	24	58
U	127	9
U	2	26
U	127	6
U	139	69
U	78	83
U	10	98
U	10	28
U	140	87
U	10	25
U	136	82
U	11	120
U	42	98
U	138	69
U	74	86
U	2	52
U	10	17
U	1	107
U	28	71
U	121	55
U	123	79
U	141	94
U	111	83
U	122	135
U	119	98
U	134	26
U	101	18
U	136	30
U	119	52
U	118	129
U	46	98
U	128	52
U	37	82
U	116	48
U	111	98
U	118	28
U	21	40
U	125	84
U	81	94
U	136	37
U	141	81
U	40	52
